"Story","Title","Result","Date","Stability","Duration (s)"
"Login page test","Contactus","SUCCESS","2021-02-12T20:11:38.861+05:30[Asia/Calcutta]","0.0","18.66"
"Login page test","App login test","SUCCESS","2021-02-12T20:11:58.282+05:30[Asia/Calcutta]","0.0","12.48"
